Repository,Number of Issues,Number of commits,Number of pull requests,Total
governance,2,16,8,26
grimoirelab,6,70,4,80
grimoirelab-bestiary,0,141,10,151
grimoirelab-elk,0,169,10,179
grimoirelab-hatstall,0,51,10,61
grimoirelab-kibiter,0,65,10,75
grimoirelab-kidash,2,14,6,22
grimoirelab-kingarthur,1,27,9,37
grimoirelab-manuscripts,5,0,5,10
grimoirelab-mordred,1,0,9,10
grimoirelab-perceval,1,0,9,10
grimoirelab-perceval-mozilla,1,0,9,10
grimoirelab-perceval-opnfv,1,0,7,8
grimoirelab-perceval-puppet,1,0,7,8
grimoirelab-sigils,2,0,8,10
grimoirelab-sortinghat,2,0,8,10
grimoirelab-toolkit,1,0,5,6
grimoirelab-tutorial,6,0,4,10
metrics,4,0,6,10
prospector,3,0,0,3
website,10,0,0,10
wg-diversity-inclusion,3,0,7,10
whitepaper,2,0,4,6
